lake_name,centroid_lat,centroid_lon,water_type,area_ha,max_depth_m,perimeter_m,has_public_access,swimming_allowed,water_quality,data_source,last_updated
wheeler pond,42.357927588467696,-71.6308334193685,pond,11.9433,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
kelchpfuhl,52.44966000460186,13.357372316546495,pond,0.0596,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
froschteich,52.49845237932054,13.230840363774531,pond,0.0231,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
kleiner karpfenpfuhl,52.4390659689826,13.399647381780639,pond,0.0925,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
juncuspfuhl,52.435521147646156,13.409563617834399,pond,0.1181,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
rotkopf-pfuhl,52.43571733765813,13.40883033661809,pond,0.0652,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
sembritzkiteich,52.452620324280524,13.350261537794259,pond,0.0126,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
massantepfuhl,52.405665654413035,13.517685743221296,pond,0.3264,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
schinkel-fontane,52.51858614749075,13.399684449825154,pond,0.0166,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
scheringteich,52.641955240171086,13.288089271705113,pond,0.0251,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
neurandteich,52.63884205097789,13.273767913437643,pond,0.0571,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
neubruckerteich,52.64047015171692,13.281825983997273,pond,0.0559,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
ludwig-lesser-teich,52.63868642219782,13.288871967172408,pond,0.0713,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
großer muggelsee,52.43754427970835,13.648328022996775,lake,742.5397,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
pfuhl am bullenwinkel,52.47009067730789,13.259918312790429,pond,0.2274,,,,,,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398
