name,latitude,longitude,district,neighborhood,district_id,neighborhood_id,bakery_type,is_chain,brand_name,street,house_number,postal_code,opening_hours,website,data_source,source_ids
Brot & mehr,52.5359406,13.4000899,Mitte,Mitte,mitte,mitte,artisanal,False,,Anklamer Straße,32,10115,"Mo-Do 06:00-17:00, Fr 06:00-16:30, Sa 07:00-16:00, Su 07:00-16:30",,OSM,node/608653441
Kamps,52.4294912,13.4569309,Neukölln,Gropiusstadt,neukölln,gropiusstadt,chain,True,Kamps,,,,,,OSM,node/609129082
Wiedemann,52.3868113,13.4042835,Tempelhof-Schöneberg,Lichtenrade,tempelhof-schöneberg,lichtenrade,artisanal,False,,Bahnhofstraße,,12305,"Mo-Fr 06:30-18:00; Sa 06:30-14:00; PH,Su 07:00-12:00",https://baecker-wiedemann.de/,OSM,node/610202853
Balkan Bäckerei Edoni,52.5164436,13.4790038,Lichtenberg,Lichtenberg,lichtenberg,lichtenberg,artisanal,False,,Möllendorffstraße,115,10367,Mo-Fr 05:00-18:00; Sa 07:00-17:00; Su 07:00-17:00,,OSM,node/611732577
Freundliche Bäckerei,52.5331777,13.3280529,Mitte,Moabit,mitte,moabit,artisanal,False,,Beusselstraße,44T,10553,"Mo-Fr 04:00-18:00; Sa,Su 05:00-18:00; PH 05:00-14:00",,OSM,node/617112621
Der Bäcker Feihl,52.634325,13.495557,Pankow,Buch,pankow,buch,artisanal,False,,,,,Mo-Sa 07:00-19:00,,OSM,node/618048317
Back & Shop,52.4822249,13.3771275,Tempelhof-Schöneberg,Tempelhof,tempelhof-schöneberg,tempelhof,artisanal,False,,,,,Mo-Fr 06:30-17:00; Su 08:00-14:00,,OSM,node/620899063
Back Kompakt,52.4371818,13.4484638,Neukölln,Britz,neukölln,britz,artisanal,False,,,,,,,OSM,node/621170710
Cuccis,52.5292797,13.455,Pankow,Prenzlauer Berg,pankow,prenzlauer_berg,artisanal,False,,,,,24/7,,OSM,node/626304105
Hofpfisterei,52.5090214,13.3068314,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,chain,True,Hofpfisterei,Goethestraße,40,10625,Mo-Fr 09:00-19:00; Sa 07:30-16:30,,OSM,node/628068892
Linde,52.5245865,13.480106,Lichtenberg,Fennpfuhl,lichtenberg,fennpfuhl,artisanal,False,,Möllendorffstraße,52,10367,Mo-Fr 06:00-17:00; Su 09:00-16:00,,OSM,node/635871513
Caramel,52.5036221,13.4859718,Lichtenberg,Rummelsburg,lichtenberg,rummelsburg,artisanal,False,,,,,Mo-Fr 05:00-19:00; Sa 05:00-18:00; Su 05:00-18:00,,OSM,node/638953351
