public_artwork_id,artwork_name,artwork_type,artist_name,street,neighbourhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
12945442930,knabe,sculpture,margit schötschel-gabriel,alfred-kowalke-straße,1101,11011011,10315,bronze,1980,,,,52.5056434,13.5260621
12945442940,buckelzirpe,statue,klaus tilke,alfred-kowalke-straße,1101,11011011,10315,terracotta,1966,,,,52.5045774,13.5286218
12945442941,löwe mit wappen,statue,unknown,richard-kolkwitz-weg,1101,11011011,10319,sandstone,1871-1914,,,,52.5001913,13.5343512
12946111803,,sculpture,,alter bernauer heerweg,0309,11003003,13125,stone,,,,,52.6629819,13.482886
12946117753,pfeil,sculpture,klaus schitthelm,hobrechtsfelder chaussee,0309,11003003,13125,,,,,,52.6606308,13.4838412
12946120846,,sculpture,,hobrechtsfelder dorfstraße,0309,11003003,16341,stone,,,,,52.6620869,13.4845646
12946120847,,sculpture,,hobrechtsfelder dorfstraße,0309,11003003,13125,stone,,,,,52.6618972,13.484383
12946135820,"""besiedelt""",sculpture,jutta schölzl,hobrechtsfelder chaussee,0309,11003003,13125,,,,,,52.6584801,13.4833614
12946144347,,sculpture,,hobrechtsfelder chaussee,0309,11003003,13125,stone,,,,,52.6578183,13.4869858
12946144353,,sculpture,,hobrechtsfelder chaussee,0309,11003003,13125,stone,,,,,52.6576679,13.4869325
12946144354,,sculpture,,hobrechtsfelder chaussee,0309,11003003,13125,stone,,,,,52.6576389,13.4869838
12946144355,,sculpture,,hobrechtsfelder chaussee,0309,11003003,13125,stone,,,,,52.657464,13.4864317
12946144356,,sculpture,,hobrechtsfelder chaussee,0309,11003003,13125,stone,,,,,52.6572986,13.4864936
12946144357,,sculpture,,hobrechtsfelder chaussee,0309,11003003,13125,stone,,,,,52.6571436,13.486591
12946596688,,sculpture,,anna-nemitz-weg,0805,11008008,12353,steel,,file:skulptur anna-nemitz-weg (grops) abstrakte plastik&demetros anastasatos&1971.jpg,Q115866905,category:abstrakte plastik (demetros anastasatos),52.4276577,13.4525396
12950280528,öffnung flora,sculpture,uli mathes,peter-weiss-gasse,1005,11010010,12627,sandstone,2000,,Q108535367,file:skulptur peter-weiss-gasse 1 (helld) öffnung flora&uli mathes&2000.jpg,52.5372409,13.6056313
12951553526,caritas,sculpture,demetros anastasatos,lübecker straße,0102,11001001,10559,metal,,,Q135082117,file:relief lübecker str 6 (moabit) caritas&demetros anastasatos&1964.jpg,52.5277054,13.345556
