area_id,neighborhood,year,data_type,crime_type_german,crime_type_english,category,value,severity_weight
71002,Schöneberg Nordost,2019,frequency,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,345.0,3.0
71002,Schöneberg Nordost,2019,frequency,Rauschgift-delikte,Drug Crimes,Drug Offense,481.0,2.5
71002,Schöneberg Nordost,2019,frequency,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,670.0,1.0
71002,Schöneberg Nordost,2019,frequency,Kieztaten,Neighborhood Crimes,Public Order,2954.0,2.0
71002,Schöneberg Nordost,2019,frequency,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,1532.0,1.5
71002,Schöneberg Nordost,2019,frequency,Wohnraum- einbruch,Residential Burglary,Property Crime,197.0,3.5
71002,Schöneberg Nordost,2019,frequency,Raub,Robbery,Violent Crime,111.0,4.0
71002,Schöneberg Nordost,2019,frequency,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,234.0,4.5
71002,Schöneberg Nordost,2019,frequency,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,82.0,4.5
71002,Schöneberg Nordost,2019,frequency,Diebstahl -insgesamt-,Theft Total,Property Crime,4930.0,2.0
71002,Schöneberg Nordost,2019,frequency,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,526.0,2.5
71002,Schöneberg Nordost,2019,frequency,Straftaten -insgesamt-,Total Crimes,Overall,12118.0,1.0
71002,Schöneberg Nordost,2019,frequency,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,82.0,3.0
72003,Schöneberg Südwest,2019,cases,Brand- stiftung,Arson,Property Crime,4.0,4.5
72003,Schöneberg Südwest,2019,cases,Branddelikte -insgesamt-,Arson Total,Property Crime,11.0,4.0
72003,Schöneberg Südwest,2019,cases,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,179.0,3.5
72003,Schöneberg Südwest,2019,cases,Fahrrad- diebstahl,Bicycle Theft,Property Crime,232.0,1.5
72003,Schöneberg Südwest,2019,cases,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,72.0,3.0
72003,Schöneberg Südwest,2019,cases,Rauschgift-delikte,Drug Crimes,Drug Offense,74.0,2.5
72003,Schöneberg Südwest,2019,cases,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,19.0,1.0
72003,Schöneberg Südwest,2019,cases,Kieztaten,Neighborhood Crimes,Public Order,634.0,2.0
72003,Schöneberg Südwest,2019,cases,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,199.0,1.5
72003,Schöneberg Südwest,2019,cases,Wohnraum- einbruch,Residential Burglary,Property Crime,47.0,3.5
72003,Schöneberg Südwest,2019,cases,Raub,Robbery,Violent Crime,17.0,4.0
72003,Schöneberg Südwest,2019,cases,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,48.0,4.5
72003,Schöneberg Südwest,2019,cases,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,9.0,4.5
72003,Schöneberg Südwest,2019,cases,Diebstahl -insgesamt-,Theft Total,Property Crime,993.0,2.0
72003,Schöneberg Südwest,2019,cases,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,114.0,2.5
72003,Schöneberg Südwest,2019,cases,Straftaten -insgesamt-,Total Crimes,Overall,2140.0,1.0
72003,Schöneberg Südwest,2019,cases,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,13.0,3.0
72003,Schöneberg Südwest,2019,frequency,Brand- stiftung,Arson,Property Crime,19.0,4.5
72003,Schöneberg Südwest,2019,frequency,Branddelikte -insgesamt-,Arson Total,Property Crime,52.0,4.0
72003,Schöneberg Südwest,2019,frequency,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,850.0,3.5
72003,Schöneberg Südwest,2019,frequency,Fahrrad- diebstahl,Bicycle Theft,Property Crime,1102.0,1.5
72003,Schöneberg Südwest,2019,frequency,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,342.0,3.0
72003,Schöneberg Südwest,2019,frequency,Rauschgift-delikte,Drug Crimes,Drug Offense,351.0,2.5
72003,Schöneberg Südwest,2019,frequency,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,90.0,1.0
72003,Schöneberg Südwest,2019,frequency,Kieztaten,Neighborhood Crimes,Public Order,3010.0,2.0
72003,Schöneberg Südwest,2019,frequency,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,945.0,1.5
72003,Schöneberg Südwest,2019,frequency,Wohnraum- einbruch,Residential Burglary,Property Crime,223.0,3.5
72003,Schöneberg Südwest,2019,frequency,Raub,Robbery,Violent Crime,81.0,4.0
72003,Schöneberg Südwest,2019,frequency,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,228.0,4.5
72003,Schöneberg Südwest,2019,frequency,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,43.0,4.5
72003,Schöneberg Südwest,2019,frequency,Diebstahl -insgesamt-,Theft Total,Property Crime,4715.0,2.0
72003,Schöneberg Südwest,2019,frequency,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,541.0,2.5
72003,Schöneberg Südwest,2019,frequency,Straftaten -insgesamt-,Total Crimes,Overall,10161.0,1.0
72003,Schöneberg Südwest,2019,frequency,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,62.0,3.0
72004,Schöneberg Südost,2019,cases,Brand- stiftung,Arson,Property Crime,3.0,4.5
72004,Schöneberg Südost,2019,cases,Branddelikte -insgesamt-,Arson Total,Property Crime,9.0,4.0
72004,Schöneberg Südost,2019,cases,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,395.0,3.5
72004,Schöneberg Südost,2019,cases,Fahrrad- diebstahl,Bicycle Theft,Property Crime,343.0,1.5
72004,Schöneberg Südost,2019,cases,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,124.0,3.0
72004,Schöneberg Südost,2019,cases,Rauschgift-delikte,Drug Crimes,Drug Offense,156.0,2.5
72004,Schöneberg Südost,2019,cases,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,155.0,1.0
72004,Schöneberg Südost,2019,cases,Kieztaten,Neighborhood Crimes,Public Order,945.0,2.0
72004,Schöneberg Südost,2019,cases,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,407.0,1.5
72004,Schöneberg Südost,2019,cases,Wohnraum- einbruch,Residential Burglary,Property Crime,41.0,3.5
72004,Schöneberg Südost,2019,cases,Raub,Robbery,Violent Crime,24.0,4.0
72004,Schöneberg Südost,2019,cases,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,89.0,4.5
72004,Schöneberg Südost,2019,cases,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,14.0,4.5
72004,Schöneberg Südost,2019,cases,Diebstahl -insgesamt-,Theft Total,Property Crime,1904.0,2.0
72004,Schöneberg Südost,2019,cases,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,167.0,2.5
72004,Schöneberg Südost,2019,cases,Straftaten -insgesamt-,Total Crimes,Overall,4625.0,1.0
72004,Schöneberg Südost,2019,cases,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,34.0,3.0
72004,Schöneberg Südost,2019,frequency,Brand- stiftung,Arson,Property Crime,10.0,4.5
72004,Schöneberg Südost,2019,frequency,Branddelikte -insgesamt-,Arson Total,Property Crime,30.0,4.0
72004,Schöneberg Südost,2019,frequency,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,1311.0,3.5
72004,Schöneberg Südost,2019,frequency,Fahrrad- diebstahl,Bicycle Theft,Property Crime,1138.0,1.5
72004,Schöneberg Südost,2019,frequency,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,411.0,3.0
72004,Schöneberg Südost,2019,frequency,Rauschgift-delikte,Drug Crimes,Drug Offense,518.0,2.5
72004,Schöneberg Südost,2019,frequency,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,514.0,1.0
72004,Schöneberg Südost,2019,frequency,Kieztaten,Neighborhood Crimes,Public Order,3136.0,2.0
72004,Schöneberg Südost,2019,frequency,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,1351.0,1.5
72004,Schöneberg Südost,2019,frequency,Wohnraum- einbruch,Residential Burglary,Property Crime,136.0,3.5
72004,Schöneberg Südost,2019,frequency,Raub,Robbery,Violent Crime,80.0,4.0
72004,Schöneberg Südost,2019,frequency,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,295.0,4.5
72004,Schöneberg Südost,2019,frequency,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,46.0,4.5
72004,Schöneberg Südost,2019,frequency,Diebstahl -insgesamt-,Theft Total,Property Crime,6318.0,2.0
72004,Schöneberg Südost,2019,frequency,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,554.0,2.5
72004,Schöneberg Südost,2019,frequency,Straftaten -insgesamt-,Total Crimes,Overall,15348.0,1.0
72004,Schöneberg Südost,2019,frequency,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,113.0,3.0
73005,Friedenau West,2019,cases,Brand- stiftung,Arson,Property Crime,5.0,4.5
73005,Friedenau West,2019,cases,Branddelikte -insgesamt-,Arson Total,Property Crime,17.0,4.0
73005,Friedenau West,2019,cases,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,127.0,3.5
73005,Friedenau West,2019,cases,Fahrrad- diebstahl,Bicycle Theft,Property Crime,259.0,1.5
73005,Friedenau West,2019,cases,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,44.0,3.0
73005,Friedenau West,2019,cases,Rauschgift-delikte,Drug Crimes,Drug Offense,36.0,2.5
73005,Friedenau West,2019,cases,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,57.0,1.0
73005,Friedenau West,2019,cases,Kieztaten,Neighborhood Crimes,Public Order,370.0,2.0
73005,Friedenau West,2019,cases,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,204.0,1.5
73005,Friedenau West,2019,cases,Wohnraum- einbruch,Residential Burglary,Property Crime,52.0,3.5
73005,Friedenau West,2019,cases,Raub,Robbery,Violent Crime,16.0,4.0
73005,Friedenau West,2019,cases,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,23.0,4.5
73005,Friedenau West,2019,cases,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,11.0,4.5
73005,Friedenau West,2019,cases,Diebstahl -insgesamt-,Theft Total,Property Crime,1164.0,2.0
73005,Friedenau West,2019,cases,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,118.0,2.5
73005,Friedenau West,2019,cases,Straftaten -insgesamt-,Total Crimes,Overall,2108.0,1.0
73005,Friedenau West,2019,cases,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,14.0,3.0
73005,Friedenau West,2019,frequency,Brand- stiftung,Arson,Property Crime,20.0,4.5
73005,Friedenau West,2019,frequency,Branddelikte -insgesamt-,Arson Total,Property Crime,69.0,4.0
73005,Friedenau West,2019,frequency,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,512.0,3.5
73005,Friedenau West,2019,frequency,Fahrrad- diebstahl,Bicycle Theft,Property Crime,1044.0,1.5
73005,Friedenau West,2019,frequency,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,177.0,3.0
73005,Friedenau West,2019,frequency,Rauschgift-delikte,Drug Crimes,Drug Offense,145.0,2.5
73005,Friedenau West,2019,frequency,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,230.0,1.0
73005,Friedenau West,2019,frequency,Kieztaten,Neighborhood Crimes,Public Order,1492.0,2.0
73005,Friedenau West,2019,frequency,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,823.0,1.5
73005,Friedenau West,2019,frequency,Wohnraum- einbruch,Residential Burglary,Property Crime,210.0,3.5
73005,Friedenau West,2019,frequency,Raub,Robbery,Violent Crime,65.0,4.0
73005,Friedenau West,2019,frequency,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,93.0,4.5
73005,Friedenau West,2019,frequency,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,44.0,4.5
73005,Friedenau West,2019,frequency,Diebstahl -insgesamt-,Theft Total,Property Crime,4693.0,2.0
73005,Friedenau West,2019,frequency,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,476.0,2.5
73005,Friedenau West,2019,frequency,Straftaten -insgesamt-,Total Crimes,Overall,8500.0,1.0
73005,Friedenau West,2019,frequency,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,56.0,3.0
73006,Friedenau Ost,2019,cases,Brand- stiftung,Arson,Property Crime,10.0,4.5
73006,Friedenau Ost,2019,cases,Branddelikte -insgesamt-,Arson Total,Property Crime,15.0,4.0
73006,Friedenau Ost,2019,cases,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,135.0,3.5
73006,Friedenau Ost,2019,cases,Fahrrad- diebstahl,Bicycle Theft,Property Crime,145.0,1.5
73006,Friedenau Ost,2019,cases,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,73.0,3.0
73006,Friedenau Ost,2019,cases,Rauschgift-delikte,Drug Crimes,Drug Offense,23.0,2.5
73006,Friedenau Ost,2019,cases,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,31.0,1.0
73006,Friedenau Ost,2019,cases,Kieztaten,Neighborhood Crimes,Public Order,388.0,2.0
73006,Friedenau Ost,2019,cases,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,178.0,1.5
73006,Friedenau Ost,2019,cases,Wohnraum- einbruch,Residential Burglary,Property Crime,40.0,3.5
73006,Friedenau Ost,2019,cases,Raub,Robbery,Violent Crime,10.0,4.0
73006,Friedenau Ost,2019,cases,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,27.0,4.5
73006,Friedenau Ost,2019,cases,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,4.0,4.5
73006,Friedenau Ost,2019,cases,Diebstahl -insgesamt-,Theft Total,Property Crime,932.0,2.0
73006,Friedenau Ost,2019,cases,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,189.0,2.5
73006,Friedenau Ost,2019,cases,Straftaten -insgesamt-,Total Crimes,Overall,1866.0,1.0
73006,Friedenau Ost,2019,cases,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,51.0,3.0
73006,Friedenau Ost,2019,frequency,Brand- stiftung,Arson,Property Crime,46.0,4.5
73006,Friedenau Ost,2019,frequency,Branddelikte -insgesamt-,Arson Total,Property Crime,69.0,4.0
73006,Friedenau Ost,2019,frequency,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,621.0,3.5
73006,Friedenau Ost,2019,frequency,Fahrrad- diebstahl,Bicycle Theft,Property Crime,667.0,1.5
73006,Friedenau Ost,2019,frequency,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,336.0,3.0
73006,Friedenau Ost,2019,frequency,Rauschgift-delikte,Drug Crimes,Drug Offense,106.0,2.5
73006,Friedenau Ost,2019,frequency,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,143.0,1.0
73006,Friedenau Ost,2019,frequency,Kieztaten,Neighborhood Crimes,Public Order,1784.0,2.0
73006,Friedenau Ost,2019,frequency,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,819.0,1.5
73006,Friedenau Ost,2019,frequency,Wohnraum- einbruch,Residential Burglary,Property Crime,184.0,3.5
73006,Friedenau Ost,2019,frequency,Raub,Robbery,Violent Crime,46.0,4.0
73006,Friedenau Ost,2019,frequency,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,124.0,4.5
73006,Friedenau Ost,2019,frequency,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,18.0,4.5
73006,Friedenau Ost,2019,frequency,Diebstahl -insgesamt-,Theft Total,Property Crime,4286.0,2.0
73006,Friedenau Ost,2019,frequency,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,869.0,2.5
73006,Friedenau Ost,2019,frequency,Straftaten -insgesamt-,Total Crimes,Overall,8580.0,1.0
73006,Friedenau Ost,2019,frequency,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,235.0,3.0
74007,Tempelhof Nord,2019,cases,Brand- stiftung,Arson,Property Crime,2.0,4.5
74007,Tempelhof Nord,2019,cases,Branddelikte -insgesamt-,Arson Total,Property Crime,16.0,4.0
74007,Tempelhof Nord,2019,cases,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,242.0,3.5
74007,Tempelhof Nord,2019,cases,Fahrrad- diebstahl,Bicycle Theft,Property Crime,161.0,1.5
74007,Tempelhof Nord,2019,cases,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,74.0,3.0
74007,Tempelhof Nord,2019,cases,Rauschgift-delikte,Drug Crimes,Drug Offense,185.0,2.5
