area_id,neighborhood,year,data_type,crime_type_german,crime_type_english,category,value,severity_weight
10000,Mitte,2015,cases,Brand- stiftung,Arson,Property Crime,110.0,4.5
10000,Mitte,2015,cases,Branddelikte -insgesamt-,Arson Total,Property Crime,253.0,4.0
10000,Mitte,2015,cases,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,7107.0,3.5
10000,Mitte,2015,cases,Fahrrad- diebstahl,Bicycle Theft,Property Crime,4594.0,1.5
10000,Mitte,2015,cases,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,2078.0,3.0
10000,Mitte,2015,cases,Rauschgift-delikte,Drug Crimes,Drug Offense,2638.0,2.5
10000,Mitte,2015,cases,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,1245.0,1.0
10000,Mitte,2015,cases,Kieztaten,Neighborhood Crimes,Public Order,15078.0,2.0
10000,Mitte,2015,cases,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,5256.0,1.5
10000,Mitte,2015,cases,Wohnraum- einbruch,Residential Burglary,Property Crime,1265.0,3.5
10000,Mitte,2015,cases,Raub,Robbery,Violent Crime,1040.0,4.0
10000,Mitte,2015,cases,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,1923.0,4.5
10000,Mitte,2015,cases,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,589.0,4.5
10000,Mitte,2015,cases,Diebstahl -insgesamt-,Theft Total,Property Crime,46613.0,2.0
10000,Mitte,2015,cases,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,4846.0,2.5
